CON,HOME_COUNTY
Dublin North-West,Dublin
Cavan-Monaghan,"Cavan,Monaghan"
Sligo-Leitrim,"Sligo,Leitrim"
Clare,Clare
Meath West,Meath
Dublin West,Dublin
Laois-Offaly,"Laois,Offaly"
Dublin South-West,Dublin
Tipperary,Tipperary
Carlow-Kilkenny,"Carlow,Kilkenny"
Longford-Westmeath,"Longford,Westmeath"
Galway West,Galway
Wexford,Wexford
Galway East,Galway
Cork East,Cork
Kerry,Kerry
Cork South-West,Cork
Cork North-West,Cork
Mayo,Mayo
Wicklow,Wicklow
Cork North-Central,Cork
Waterford,Waterford
Cork South-Central,Cork
Donegal,Donegal
Meath East,Meath
Dublin Fingal,Dublin
Dublin Bay South,Dublin
Limerick City,Limerick
Roscommon-Galway,"Roscommon,Galway"
Dún Laoghaire,Dublin
Limerick County,Limerick
Dublin South-Central,Dublin
Kildare North,Kildare
Dublin Bay North,Dublin
Dublin Central,Dublin
Dublin Rathdown,Dublin
Kildare South,Kildare
Louth,Louth
Dublin Mid-West,Dublin
